Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.30     0.00    86749     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_find_node(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, std::string const&, unsigned long) const
  0.00      0.30     0.00    86749     0.00     0.00  std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>::operator->() const
  0.00      0.30     0.00    76492     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_compare(std::string const&, unsigned long, std::__detail::_Hash_node<std::pair<std::string const, int>, false>*) const
  0.00      0.30     0.00    76492     0.00     0.00  std::equal_to<std::string>::operator()(std::string const&, std::string const&) const
  0.00      0.30     0.00    76492     0.00     0.00  __gnu_cxx::__enable_if<std::__is_char<char>::__value, bool>::__type std::operator==<char>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.30     0.00    68578     0.00     0.00  __gnu_cxx::new_allocator<std::string>::construct(std::string*, std::string const&)
  0.00      0.30     0.00    68578     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::push_back(std::string const&)
  0.00      0.30     0.00    66480     0.00     0.00  std::pair<std::string const, int>::~pair()
  0.00      0.30     0.00    66480     0.00     0.00  std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>&& std::forward<std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false> >(std::identity<std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false> >::type&&)
  0.00      0.30     0.00    66480     0.00     0.00  std::pair<std::string const, int> const&&& std::forward<std::pair<std::string const, int> const&>(std::identity<std::pair<std::string const, int> const&>::type&&)
  0.00      0.30     0.00    65569     0.00     0.00  bool std::operator==<NgramList::Ngram*, NgramList::Ngram*>(std::move_iterator<NgramList::Ngram*> const&, std::move_iterator<NgramList::Ngram*> const&)
  0.00      0.30     0.00    65569     0.00     0.00  bool std::operator!=<NgramList::Ngram*, NgramList::Ngram*>(std::move_iterator<NgramList::Ngram*> const&, std::move_iterator<NgramList::Ngram*> const&)
  0.00      0.30     0.00    65535     0.00     0.00  std::move_iterator<NgramList::Ngram*>::operator*() const
  0.00      0.30     0.00    65535     0.00     0.00  std::move_iterator<NgramList::Ngram*>::operator++()
  0.00      0.30     0.00    65535     0.00     0.00  void std::_Construct<NgramList::Ngram, NgramList::Ngram>(NgramList::Ngram*, NgramList::Ngram&&)
  0.00      0.30     0.00    65535     0.00     0.00  NgramList::Ngram&& std::forward<NgramList::Ngram>(std::identity<NgramList::Ngram>::type&&)
  0.00      0.30     0.00    60506     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node<std::pair<std::string const, int>, false> const*, unsigned long) const
  0.00      0.30     0.00    53509     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::find(std::string const&)
  0.00      0.30     0.00    53509     0.00     0.00  std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>::_Hashtable_iterator(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, std::__detail::_Hash_node<std::pair<std::string const, int>, false>**)
  0.00      0.30     0.00    53509     0.00     0.00  bool std::__detail::operator==<std::pair<std::string const, int>, false>(std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false> const&, std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false> const&)
  0.00      0.30     0.00    53509     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.30     0.00    53509     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.30     0.00    33241     0.00     0.00  bool std::__detail::operator!=<std::pair<std::string const, int>, false>(std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false> const&, std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false> const&)
  0.00      0.30     0.00    33240     0.00     0.00  NgramList::Ngram::Ngram()
  0.00      0.30     0.00    33240     0.00     0.00  __gnu_cxx::new_allocator<NgramList::Ngram>::construct(NgramList::Ngram*, NgramList::Ngram const&)
  0.00      0.30     0.00    33240     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false> >::deallocate(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, unsigned long)
  0.00      0.30     0.00    33240     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false> >::destroy(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*)
  0.00      0.30     0.00    33240     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false> >::allocate(unsigned long, void const*)
  0.00      0.30     0.00    33240     0.00     0.00  void __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false> >::construct<std::pair<std::string const, int> const&>(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, std::pair<std::string const, int> const&&&)
  0.00      0.30     0.00    33240     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false> >::max_size() const
  0.00      0.30     0.00    33240     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_store_code(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, unsigned long) const
  0.00      0.30     0.00    33240     0.00     0.00  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
  0.00      0.30     0.00    33240     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_allocate_node(std::pair<std::string const, int> const&)
  0.00      0.30     0.00    33240     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_insert_bucket(std::pair<std::string const, int> const&, unsigned long, unsigned long)
  0.00      0.30     0.00    33240     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_deallocate_node(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*)
  0.00      0.30     0.00    33240     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::insert(std::pair<std::string const, int> const&)
  0.00      0.30     0.00    33240     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_insert(std::pair<std::string const, int> const&, std::integral_constant<bool, true>)
  0.00      0.30     0.00    33240     0.00     0.00  std::pair<std::string const, int>::pair(std::pair<std::string const, int> const&)
  0.00      0.30     0.00    33240     0.00     0.00  std::pair<std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>, bool>::pair<std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>, bool>(std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>&&, bool&&)
  0.00      0.30     0.00    33240     0.00     0.00  std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> >::push_back(NgramList::Ngram const&)
  0.00      0.30     0.00    33240     0.00     0.00  std::__detail::_Hash_node<std::pair<std::string const, int>, false>::_Hash_node<std::pair<std::string const, int> const&>(std::pair<std::string const, int> const&&&)
  0.00      0.30     0.00    33240     0.00     0.00  std::__detail::_Hash_node<std::pair<std::string const, int>, false>::~_Hash_node()
  0.00      0.30     0.00    33240     0.00     0.00  std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>::operator++(int)
  0.00      0.30     0.00    33240     0.00     0.00  std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false>::_M_incr()
  0.00      0.30     0.00    33240     0.00     0.00  std::string&&& std::forward<std::string&>(std::identity<std::string&>::type&&)
  0.00      0.30     0.00    33228     0.00     0.00  std::pair<bool, int>::pair<bool, int>(bool&&, int&&)
  0.00      0.30     0.00    33228     0.00     0.00  std::pair<bool, unsigned long>::pair<bool, int>(std::pair<bool, int>&&)
  0.00      0.30     0.00    33228     0.00     0.00  std::remove_reference<bool&>::type&& std::move<bool&>(bool&&&)
  0.00      0.30     0.00    33228     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&&&)
  0.00      0.30     0.00    33228     0.00     0.00  std::pair<std::__decay_and_strip<bool>::__type, std::__decay_and_strip<int>::__type> std::make_pair<bool, int>(bool&&, int&&)
  0.00      0.30     0.00    26411     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      0.30     0.00    25732     0.00     0.00  std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false>::_M_incr_bucket()
  0.00      0.30     0.00       72     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::base() const
  0.00      0.30     0.00       72     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::size() const
  0.00      0.30     0.00       72     0.00     0.00  std::move_iterator<std::string*>::move_iterator(std::string*)
  0.00      0.30     0.00       72     0.00     0.00  std::move_iterator<std::string*> std::make_move_iterator<std::string*>(std::string* const&)
  0.00      0.30     0.00       68     0.00     0.00  __gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >::base() const
  0.00      0.30     0.00       68     0.00     0.00  std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> >::size() const
  0.00      0.30     0.00       68     0.00     0.00  std::move_iterator<NgramList::Ngram*>::move_iterator(NgramList::Ngram*)
  0.00      0.30     0.00       68     0.00     0.00  std::move_iterator<NgramList::Ngram*> std::make_move_iterator<NgramList::Ngram*>(NgramList::Ngram* const&)
  0.00      0.30     0.00       55     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator()
  0.00      0.30     0.00       54     0.00     0.00  __gnu_cxx::new_allocator<std::string>::max_size() const
  0.00      0.30     0.00       52     0.00     0.00  std::_Vector_base<NgramList::Ngram, std::allocator<NgramList::Ngram> >::_M_get_Tp_allocator()
  0.00      0.30     0.00       51     0.00     0.00  __gnu_cxx::new_allocator<NgramList::Ngram>::max_size() const
  0.00      0.30     0.00       36     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::__normal_iterator(std::string* const&)
  0.00      0.30     0.00       36     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_get_Tp_allocator() const
  0.00      0.30     0.00       36     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::max_size() const
  0.00      0.30     0.00       36     0.00     1.39  std::string* std::__uninitialized_copy<false>::uninitialized_copy<std::move_iterator<std::string*>, std::string*>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*)
  0.00      0.30     0.00       36     0.00     1.39  std::string* std::uninitialized_copy<std::move_iterator<std::string*>, std::string*>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*)
  0.00      0.30     0.00       36     0.00     1.39  std::string* std::__uninitialized_copy_a<std::move_iterator<std::string*>, std::string*, std::string>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*, std::allocator<std::string>&)
  0.00      0.30     0.00       36     0.00     1.39  std::string* std::__uninitialized_move_a<std::string*, std::string*, std::allocator<std::string> >(std::string*, std::string*, std::string*, std::allocator<std::string>&)
  0.00      0.30     0.00       35     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.30     0.00       34     0.00     0.00  __gnu_cxx::__normal_iterator<NgramList::Ngram*, std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> > >::__normal_iterator(NgramList::Ngram* const&)
  0.00      0.30     0.00       34     0.00     0.00  std::_Vector_base<NgramList::Ngram, std::allocator<NgramList::Ngram> >::_M_get_Tp_allocator() const
  0.00      0.30     0.00       34     0.00     0.00  std::vector<NgramList::Ngram, std::allocator<NgramList::Ngram> >::max_size() const
  0.00      0.30     0.00       34     0.00     0.29  NgramList::Ngram* std::uninitialized_copy<std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*>(std::move_iterator<NgramList::Ngram*>, std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*)
  0.00      0.30     0.00       34     0.00     0.29  NgramList::Ngram* std::__uninitialized_copy_a<std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*, NgramList::Ngram>(std::move_iterator<NgramList::Ngram*>, std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*, std::allocator<NgramList::Ngram>&)
  0.00      0.30     0.00       34     0.00     0.29  NgramList::Ngram* std::__uninitialized_move_a<NgramList::Ngram*, NgramList::Ngram*, std::allocator<NgramList::Ngram> >(NgramList::Ngram*, NgramList::Ngram*, NgramList::Ngram*, std::allocator<NgramList::Ngram>&)
  0.00      0.30     0.00       26     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false>*>::new_allocator()
  0.00      0.30     0.00       26     0.00     0.00  __gnu_cxx::new_allocator<std::__detail::_Hash_node<std::pair<std::string const, int>, false>*>::~new_allocator()
